    Send    	    发送    
 Added 	  添加  
 Deleted 	 删除 
 Modified 	 修改 
 \.\.\. and ([,0-9]+) more\.	 ... 其他$1件
"Pause automated tasks" option selected by default	默认选择"暂停自动任务"选项
$1000	¥30000
% of audit items fail	%审计项目失败
% of requests time out	%请求超时
(.*), bit flipper(\.|,.*)	$1, Bit翻转$2
(.*), brute forcer(\.|,.*)	$1, 暴力破解$2
(.*), case modification(\.|,.*)	$1, 大小写转换$2
(.*), character blocks(\.|,.*)	$1, 字符块$2
(.*), character frobber(\.|,.*)	$1, 字符翻转$2
(.*), character substitution(\.|,.*)	$1, 字符替换$2
(.*), copy other payload(\.|,.*)	$1, 复制其他有效载荷$2
(.*), custom iterator(\.|,.*)	$1, 自定义迭代$2
(.*), dates(\.|,.*)	$1, 日期格式$2
(.*), ECB block shuffler(\.|,.*)	$1, ECB块洗牌$2
(.*), extension-generated(\.|,.*)	$1, 基于扩展功能生成$2
(.*), illegal Unicode(\.|,.*)	$1, 非法Unicode$2
(.*), null payloads(\.|,.*)	$1, 空有效载荷$2
(.*), numbers(\.|,.*)	$1, 数字格式$2
(.*), recursive grep(\.|,.*)	$1, 递归搜索$2
(.*), runtime file(\.|,.*)	$1, 运行时文件$2
(.*), simple list(\.|,.*)	$1, 简单列表$2
(.*), username generator(\.|,.*)	$1, 用户名生成$2
(.*)- Not saved to project file(.*)	$1- 未保存到项目文件$2
(.*)- Temporary attack(.*)	$1- 临时攻击$2
(.*)<h3>Description</h3>(.*)	$1<h3>描述</h3>$2
(.*)<h3>Issue background</h3>(.*)	$1<h3>问题背景</h3>$2
(.*)<h3>Issue description</h3>(.*)	$1<h3>问题描述</h3>$2
(.*)<h3>Issue detail</h3>(.*)	$1<h3>问题详情</h3>$2
(.*)<h3>Issue remediation</h3>(.*)	$1<h3>问题修复</h3>$2
(.*)<h3>References</h3>(.*)	$1<h3>参考资料</h3>$2
(.*)<h3>Remediation</h3>(.*)	$1<h3>补救措施</h3>$2
(.*)<h3>Type index</h3>(.*)	$1<h3>类型索引</h3>$2
(.*)<h3>Typical severity</h3>(.*)	$1<h3>典型严重程度</h3>$2
(.*)<h3>Vulnerability classifications</h3>(.*)	$1<h3>漏洞分类</h3>$2
(.*)Because some character positions within the sample use character sets whose size is not a round power of two, ([,0-9.]+) bits of data were compressed into other bits derived from the same character position.(.*)	$1由于样本中的一些字符位置使用不是2次幂大小的字符集，所以数据的$2位被压缩到从相同字符位置派生的其他位。$3
(.*)Click "Copy to clipboard" to generate Burp Collaborator payloads that you can use when testing(.*)	$1点击 "复制到剪贴板"，生成Burp协助者的有效载荷，在测试时可以使用。$2
(.*)Configure automated attacks that send the same request many times, substituting specific values with predetermined payloads each time\.(.*)	$1配置自动攻击，发送相同的请求 多次，每次都用预先确定的有效载荷替换特定的值。每次的有效载荷。$2
(.*)Failed to connect to(.*)	$1无法连接到$2
(.*)Failed to start proxy service on (.*) - Check whether another service is already using this port.	$1 启动 $2 代理服务失败 - 检查其他服务是否已经在使用这个端口。
(.*)Logger displays the history of all HTTP traffic sent between Burp's tools and your target applications\. This includes requests generated by extensions\.(.*)	$1记录器显示Burp的工具和你的目标应用程序之间发送的所有HTTP流量的历史。这包括由扩展程序产生的请求。$2
(.*)Modify and resend individual requests to test how the server's response changes based on your input\.(.*)	$1修改并重新发送单个请求，以测试服务器的响应如何根据你的输入而变化。$2
(.*)Note that on some Windows installations the Control\+Alt combination is treated by the OS as equivalent to AltGr, and so may result in typed characters appearing when pressed in text fields\.	$1请注意，在某些Windows安装中，Ctrl+Alt的组合将被视为与AltGr同等，因此文本字段中输入的字符可能会出现。
(.*)Proxy service started on(.*)	$1代理服务开始于$2
(.*)Proxy service stopped on(.*)	$1代理服务已停止$2
(.*)Requests sent by Burp's browser will be held here so that you can analyze and modify them before forwarding them to the target server\.(.*)	$1Burp浏览器发送的请求将被保存在这里，这样你就可以在将它们转发到目标服务器之前分析和修改它们$2
(.*)The Burp Collaborator client enables you to use Burp Collaborator to discover vulnerabilities during manual testing\.(.*)	$1Burp协作者客户端使你能够在人工测试期间使用Burp协作者来发现漏洞。$2
(.*)The chart shows the number of bits contributed by each character position.	$1图表显示了每个字符位置贡献的位数。
(.*)The Collaborator client enables you to test whether you can induce an application to interact with an external service via DNS, HTTP, or SMTP. This type of testing makes it easier to discover blind or asynchronous vulnerabilities\.(.*)	$1Collaborator客户端使你能够测试是否能够诱导应用程序通过DNS、HTTP或SMTP与外部服务交互。这种类型的测试更容易发现盲目或异步的漏洞。$2
(.*)The message inspector allows you to quickly decode data in WebSocket messages\. Select one or more characters that you want to decode\.(.*)	$1消息检查器允许你快速解码WebSocket消息中的数据。选择一个或多个你想解码的字符$2
(.*)The message inspector provides a quick way to analyse interesting details and features of HTTP messages, and perform common operations on them\.(.*)	$1消息检查器提供了一种快速的方法来分析HTTP消息的有趣细节和特征，并对其进行普通操作$2
(.*)The overall bit counts for effective entropy have been adjusted to reflect this compression.(.*)	$1有意义的熵的总位计数被调整，以反映这种压缩。$2
